2025-03-16 18:07:33,080 INFO    Thread-31 :48913 [wandb_init.py:init():788] sending inform_init request
2025-03-16 18:07:33,086 INFO    Thread-31 :48913 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2025-03-16 18:07:33,086 INFO    Thread-31 :48913 [wandb_init.py:init():798] backend started and connected
2025-03-16 18:07:33,088 INFO    Thread-31 :48913 [wandb_run.py:_config_callback():1261] config_cb None None {'activation': 'relu', 'batch_size': 512, 'beta1': 0.9049988401679808, 'beta2': 0.9987715798631174, 'epochs': 800, 'hidden_size': [784], 'learning_rate': 0.0018847522985924864, 'loss': 'cross_entropy', 'momentum': 0.9494259831721282, 'optimizer': 'rmsprop', 'weight_decay': 0.0006092456693413297, 'weight_init': 'xavier'}
2025-03-16 18:07:33,098 INFO    Thread-31 :48913 [wandb_init.py:init():891] updated telemetry
2025-03-16 18:07:33,137 INFO    Thread-31 :48913 [wandb_init.py:init():915] communicating run to backend with 90.0 second timeout
2025-03-16 18:07:33,532 INFO    Thread-31 :48913 [wandb_init.py:init():990] starting run threads in backend
2025-03-16 18:07:33,665 INFO    Thread-31 :48913 [wandb_run.py:_console_start():2375] atexit reg
2025-03-16 18:07:33,665 INFO    Thread-31 :48913 [wandb_run.py:_redirect():2227] redirect: wrap_raw
2025-03-16 18:07:33,665 INFO    Thread-31 :48913 [wandb_run.py:_redirect():2292] Wrapping output streams.
2025-03-16 18:07:33,666 INFO    Thread-31 :48913 [wandb_run.py:_redirect():2315] Redirects installed.
2025-03-16 18:07:33,666 INFO    Thread-31 :48913 [wandb_init.py:init():1032] run started, returning control to user process
2025-03-16 18:07:35,516 INFO    Thread-31 :48913 [wandb_run.py:_config_callback():1261] config_cb ('_wandb', 'visualize', 'Confusion matrix') {'panel_type': 'Vega2', 'panel_config': {'panelDefId': 'wandb/confusion_matrix/v1', 'fieldSettings': {'Actual': 'Actual', 'Predicted': 'Predicted', 'nPredictions': 'nPredictions'}, 'stringSettings': {'title': 'Confusion Matrix Curve'}, 'transform': {'name': 'tableWithLeafColNames'}, 'userQuery': {'queryFields': [{'name': 'runSets', 'args': [{'name': 'runSets', 'value': '${runSets}'}], 'fields': [{'name': 'id', 'fields': []}, {'name': 'name', 'fields': []}, {'name': '_defaultColorIndex', 'fields': []}, {'name': 'summaryTable', 'args': [{'name': 'tableKey', 'value': 'Confusion matrix_table'}], 'fields': []}]}]}}} None
